,X,Petri.Dish,Date_Moved_1,Total_Transplant_1,Hypocotyl_1,GA3,notes,Date_Moved_2,Total_Transplant_2,Hypocotyl_2,Date_Moved_3,Total_Transplant_3,Hypocotyl_3,mortality
265,189,c|VRCAN-1-40|Q,19-04-15,7,2,y,NA,19-05-07,1,1,,NA,NA,NA
266,190,d|VRCAN-1-40|Q,19-04-26,5,2,y,NA,,NA,NA,,NA,NA,1
267,426,e|VRCAN-1-40|Q,19-04-01,1,1,,NA,19-04-17,1,1,,NA,NA,NA
268,429,a|VRPET2-3-20|Q,19-04-01,3,3,,NA,19-05-07,1,1,,NA,NA,NA
269,430,b|VRPET2-3-20|Q,19-03-22,4,1,,,19-04-13,5,1,,NA,NA,2
270,191,c|VRPET2-3-20|Q,19-03-08,3,2,,4 is dead.,19-03-28,5,5,19-04-13,4,4,2
271,192,d|VRPET2-3-20|Q,19-03-22,2,2,,NA,19-04-25,3,3,,NA,NA,NA
272,200,a|VSGARO1-1-0|Q,19-03-07,1,1,,dead,19-03-28,3,3,,NA,NA,NA
273,568,c|VSGARO1-1-0|Q,19-04-17,1,1,y,,19-05-07,1,1,,NA,NA,NA
274,201,d|VSGARO1-1-0|Q,19-04-15,7,4,y,,,NA,NA,,NA,NA,NA
275,202,e|VSGARO1-1-0|Q,19-04-17,5,4,y,,,NA,NA,,NA,NA,NA
276,204,a|WSSWM1-1-0|Q,19-04-10,2,2,,NA,,NA,NA,,NA,NA,NA
277,205,b|WSSWM1-1-0|Q,19-04-18,3,2,y,NA,,NA,NA,,NA,NA,NA
278,483,c|WSSWM1-1-0|Q,19-04-16,3,1,y,NA,,NA,NA,,NA,NA,NA
279,487,d|WSSWM1-1-0|Q,19-04-18,6,2,y,NA,19-04-26,1,1,,NA,NA,NA
280,488,e|WSSWM1-1-0|Q,19-04-04,1,1,,NA,19-05-07,1,1,,NA,NA,NA
281,283,a|WSSWM3-1-0|Q,19-04-25,6,4,y,NA,19-05-07,3,3,,NA,NA,2
282,284,b|WSSWM3-1-0|Q,19-04-17,5,1,y,NA,19-05-07,1,1,,NA,NA,NA
283,285,c|WSSWM3-1-0|Q,19-04-18,7,2,,NA,,NA,NA,,NA,NA,NA
284,497,d|WSSWM3-1-0|Q,19-04-03,2,2,,NA,,NA,NA,,NA,NA,NA
285,206,e|WSSWM3-1-0|Q,19-04-25,5,4,y,NA,,NA,NA,,NA,NA,NA
286,208,b|WSSWM3-1-40|Q,19-04-13,3,3,y,NA,19-04-25,3,3,19-05-07,1,1,1
287,209,c|WSSWM3-1-40|Q,19-04-23,8,8,y,NA,,NA,NA,,NA,NA,NA
288,210,d|WSSWM3-1-40|Q,19-04-03,2,NA,,NA,,NA,NA,,NA,NA,NA
289,287,e|WSSWM3-1-40|Q,19-03-27,3,3,,,19-04-13,6,6,,NA,NA,1
290,214,b|WSSWM3-3-80|V,19-04-04,1,NA,,,,NA,NA,,NA,NA,NA
291,217,e|WSSWM3-3-80|V,19-04-25,4,3,,,,NA,NA,,NA,NA,2
